fid,gid,codibge,nome,Anomaliasum
"1",399,"4128807",Xambre,
"2",93,"4106852",Cruzmaltina,
"3",348,"4125407",Sao Jose Da Boa Vista,
"4",331,"4124004",Santana Do Itarare,
"5",359,"4126207",Sapopema,
"6",76,"4105508",Cianorte,
"7",104,"4107520",Esperanca Nova,
"8",327,"4123824",Santa Lucia,
"9",44,"4103305",Borrazopolis,
"10",95,"4107009",Curiuva,
"11",112,"4107751",Figueira,
"12",377,"4127502",Tibagi,
"13",283,"4120358",Pranchita,
"14",263,"4119004",Perola D'Oeste,
"15",382,"4127882",Tunas Do Parana,
"16",2,"4100202",Adrianopolis,
"17",35,"4102901",Bituruna,
"18",75,"4105409",Chopinzinho,
"19",183,"4113205",Lapa,
"20",341,"4124806",Sao Joao,
"21",159,"4111209",Itapejara D'Oeste,
"22",22,"4101804",Araucaria,
"23",21,"4101705",Araruna,
"24",383,"4127908",Tuneiras Do Oeste,
"25",274,"4119806",Planalto,
"26",122,"4108452",Foz Do Jordao,
"27",352,"4125605",Sao Mateus Do Sul,
"28",318,"4123006",Salto Do Lontra,
"29",326,"4123808",Santa Izabel Do Oeste,
"30",216,"4115705",Matinhos,
"31",253,"4118204",Paranagua,
"32",195,"4113908",Mallet,
"33",305,"4122008",Rio Azul,
"34",92,"4106803",Cruz Machado,
"35",147,"4110201",Inacio Martins,
"36",361,"4126272",Saudade Do Iguacu,
"37",94,"4106902",Curitiba,
"38",59,"4104204",Campo Largo,
"39",286,"4120606",Prudentopolis,
"40",289,"4120804",Quatro Barras,
"41",79,"4105805",Colombo,
"42",188,"4113452",Lindoeste,
"43",111,"4107736",Fernandes Pinheiro,
"44",146,"4110102",Imbituva,
"45",69,"4104808",Cascavel,
"46",397,"4128658",Virmond,
"47",64,"4104451",Cantagalo,
"48",106,"4107546",Espigao Alto Do Iguacu,
"49",235,"4117057",Nova Laranjeiras,
"50",119,"4108304",Foz Do Iguacu,
"51",275,"4119905",Ponta Grossa,
"52",126,"4108650",Goioxim,
"53",213,"4115457",Marquinho,
"54",332,"4124020",Santa Tereza Do Oeste,
"55",57,"4104055",Campo Bonito,
"56",134,"4109302",Guaraniacu,
"57",162,"4111407",Ivai,
"58",91,"4106704",Cruzeiro Do Sul,
"59",252,"4118105",Paranacity,
"60",322,"4123402",Santa Fe,
"61",190,"4113601",Lobato,
"62",130,"4108957",Guamiranga,
"63",295,"4121257",Ramilandia,
"64",254,"4118303",Paranapoema,
"65",140,"4109757",Ibema,
"66",221,"4115903",Mirador,
"67",10,"4100905",Amapora,
"68",30,"4102505",Barbosa Ferraz,
"69",110,"4107702",Fenix,
"70",314,"4122651",Rosario Do Ivai,
"71",129,"4108908",Guairaca,
"72",355,"4125803",Sao Pedro Do Ivai,
"73",42,"4103206",Bom Sucesso,
"74",328,"4123857",Santa Maria Do Oeste,
"75",38,"4103040",Boa Ventura De Sao Roque,
"76",55,"4103958",Campina Do Simao,
"77",249,"4117800",Palmital,
"78",97,"4107124",Diamante Do Sul,
"79",70,"4104907",Castro,
"80",393,"4128559",Vera Cruz Do Oeste,
"81",354,"4125753",Sao Pedro Do Iguacu,
"82",362,"4126306",Senges,
"83",245,"4117453",Ouro Verde Do Oeste,
"84",150,"4110508",Ipiranga,
"85",384,"4127957",Tupassi,
"86",54,"4103909",Campina Da Lagoa,
"87",67,"4104659",Carambei,
"88",385,"4127965",Turvo,
"89",62,"4104402",Candido De Abreu,
"90",184,"4113254",Laranjal,
"91",231,"4116802",Nova Cantu,
"92",203,"4114609",Marechal Candido Rondon,
"93",271,"4119608",Pitanga,
"94",300,"4121604",Renascenca,
"95",73,"4105201",Cerro Azul,
"96",217,"4115739",Mato Rico,
"97",312,"4122503",Roncador,
"98",84,"4106308",Corbelia,
"99",144,"4110052",Iguatu,
"100",12,"4101051",Anahy,
"101",386,"4128005",Ubirata,
"102",180,"4112959",Juranda,
"103",239,"4117222",Nova Santa Rosa,
"104",290,"4120853",Quatro Pontes,
"105",379,"4127700",Toledo,
"106",202,"4114500",Manoel Ribas,
"107",23,"4101853",Ariranha Do Ivai,
"108",241,"4117271",Nova Tebas,
"109",154,"4110805",Iretama,
"110",211,"4115358",Maripa,
"111",287,"4120655",Quarto Centenario,
"112",297,"4121356",Rancho Alegre D'Oeste,
"113",145,"4110078",Imbau,
"114",25,"4102000",Assis Chateaubriand,
"115",163,"4111506",Ivaipora,
"116",269,"4119400",Pirai Do Sul,
"117",169,"4112009",Jaguariaiva,
"118",125,"4108601",Goioere,
"119",36,"4103008",Boa Esperanca,
"120",208,"4115101",Mariluz,
"121",88,"4106555",Corumbatai Do Sul,
"122",224,"4116109",Moreira Sales,
"123",373,"4127106",Telemaco Borba,
"124",392,"4128534",Ventania,
"125",193,"4113759",Lunardelli,
"126",343,"4125001",Sao Joao Do Ivai,
"127",226,"4116307",Munhoz De Melo,
"128",182,"4113106",Kalore,
"129",214,"4115507",Marumbi,
"130",380,"4127809",Tomazina,
"131",266,"4119202",Pinhalao,
"132",172,"4112306",Japira,
"133",158,"4111100",Itambe,
"134",306,"4122107",Rio Bom,
"135",242,"4117297",Novo Itacolomi,
"136",166,"4111704",Jaboti,
"137",317,"4122909",Salto Do Itarare,
"138",68,"4104709",Carlopolis,
"139",165,"4111605",Ivatuba,
"140",101,"4107306",Doutor Camargo,
"141",115,"4107900",Floresta,
"142",336,"4124301",Santo Antonio Do Paraiso,
"143",370,"4126801",Tapejara,
"144",237,"4117206",Nova Olimpia,
"145",358,"4126108",Sao Tome,
"146",173,"4112405",Japura,
"147",315,"4122701",Sabaudia,
"148",246,"4117503",Paicandu,
"149",244,"4117404",Ourizona,
"150",77,"4105607",Cidade Gaucha,
"151",18,"4101507",Arapongas,
"152",311,"4122404",Rolandia,
"153",198,"4114203",Mandaguari,
"154",292,"4121000",Querencia Do Norte,
"155",24,"4101903",Assai,
"156",371,"4126900",Tapira,
"157",228,"4116505",Nova Alianca Do Ivai,
"158",319,"4123105",Santa Amelia,
"159",321,"4123303",Santa Cruz De Monte Castelo,
"160",272,"4119657",Pitangueiras,
"161",178,"4112801",Joaquim Tavora,
"162",303,"4121802",Ribeirao Claro,
"163",284,"4120408",Presidente Castelo Branco,
"164",27,"4102208",Atalaia,
"165",197,"4114104",Mandaguacu,
"166",117,"4108106",Florida,
"167",365,"4126504",Sertanopolis,
"168",52,"4103701",Cambe,
"169",168,"4111902",Jaguapita,
"170",176,"4112702",Jataizinho,
"171",390,"4128401",Urai,
"172",334,"4124103",Santo Antonio Da Platina,
"173",167,"4111803",Jacarezinho,
"174",32,"4102703",Barra Do Jacare,
"175",255,"4118402",Paranavai,
"176",14,"4101150",Angulo,
"177",356,"4125902",Sao Pedro Do Parana,
"178",335,"4124202",Santo Antonio Do Caiua,
"179",207,"4115002",Marilena,
"180",236,"4117107",Nova Londrina,
"181",96,"4107108",Diamante Do Norte,
"182",161,"4111308",Itauna Do Sul,
"183",387,"4128104",Umuarama,
"184",261,"4118857",Perobal,
"185",313,"4122602",Rondon,
"186",46,"4103370",Brasilandia Do Sul,
"187",323,"4123501",Santa Helena,
"188",394,"4128609",Vere,
"189",45,"4103354",Braganey,
"190",349,"4125456",Sao Jose Das Palmeiras,
"191",333,"4124053",Santa Terezinha De Itaipu,
"192",71,"4105003",Catanduvas,
"193",5,"4100459",Altamira Do Parana,
"194",200,"4114351",Manfrinopolis,
"195",212,"4115408",Marmeleiro,
"196",388,"4128203",Uniao Da Vitoria,
"197",123,"4108502",General Carneiro,
"198",372,"4127007",Teixeira Soares,
"199",15,"4101200",Antonina,
"200",276,"4119954",Pontal Do Parana,
"201",247,"4117602",Palmas,
"202",285,"4120507",Primeiro De Maio,
"203",9,"4100806",Alvorada Do Sul,
"204",360,"4126256",Sarandi,
"205",298,"4121406",Realeza,
"206",137,"4109609",Guaratuba,
"207",281,"4120309",Porto Vitoria,
"208",143,"4110003",Iguaracu,
"209",210,"4115309",Mariopolis,
"210",114,"4107850",Flor Da Serra Do Sul,
"211",43,"4103222",Bom Sucesso Do Sul,
"212",233,"4116950",Nova Esperanca Do Sudoeste,
"213",118,"4108205",Formosa Do Oeste,
"214",8,"4100707",Alto Piquiri,
"215",99,"4107207",Dois Vizinhos,
"216",330,"4123956",Santa Monica,
"217",345,"4125209",Sao Jorge D'Oeste,
"218",20,"4101655",Arapua,
"219",209,"4115200",Maringa,
"220",65,"4104501",Capanema,
"221",304,"4121901",Ribeirao Do Pinhal,
"222",124,"4108551",Godoy Moreira,
"223",128,"4108809",Guaira,
"224",155,"4110904",Itaguaje,
"225",177,"4112751",Jesuitas,
"226",120,"4108320",Francisco Alves,
"227",132,"4109104",Guaporema,
"228",357,"4126009",Sao Sebastiao Da Amoreira,
"229",234,"4117008",Nova Fatima,
"230",229,"4116604",Nova America Da Colina,
"231",389,"4128302",Uniflor,
"232",33,"4102752",Bela Vista Da Caroba,
"233",152,"4110656",Iracema Do Oeste,
"312",251,"4118006",Paraiso Do Norte,
"313",133,"4109203",Guaraci,
"314",72,"4105102",Centenario Do Sul,
"234",369,"4126702",Tamboara,
"235",78,"4105706",Clevelandia,
"236",138,"4109658",Honorio Serpa,
"237",196,"4114005",Mambore,
"238",107,"4107553",Farol,
"239",31,"4102604",Barracao,
"240",41,"4103156",Bom Jesus Do Sul,
"241",257,"4118501",Pato Branco,
"242",121,"4108403",Francisco Beltrao,
"243",11,"4101002",Ampere,
"244",102,"4107405",Eneas Marques,
"245",337,"4124400",Santo Antonio Do Sudoeste,
"246",86,"4106456",Coronel Domingos Soares,
"247",268,"4119301",Pinhao,
"248",316,"4122800",Salgado Filho,
"249",267,"4119251",Pinhal De Sao Bento,
"250",87,"4106506",Coronel Vivida,
"251",201,"4114401",Mangueirinha,
"252",3,"4100301",Agudos Do Sul,
"253",199,"4114302",Mandirituba,
"254",310,"4122305",Rio Negro,
"255",58,"4104105",Campo Do Tenente,
"256",264,"4119103",Pien,
"257",294,"4121208",Quitandinha,
"258",61,"4104303",Campo Mourao,
"259",89,"4106571",Cruzeiro Do Iguacu,
"260",381,"4127858",Tres Barras Do Parana,
"261",240,"4117255",Nova Prata Do Iguacu,
"262",66,"4104600",Capitao Leonidas Marques,
"263",39,"4103057",Boa Vista Da Aparecida,
"264",192,"4113734",Luiziana,
"265",279,"4120150",Porto Barreiro,
"266",63,"4104428",Candoi,
"267",139,"4109708",Ibaiti,
"268",81,"4106001",Congonhinhas,
"269",232,"4116901",Nova Esperanca,
"270",282,"4120333",Prado Ferreira,
"271",85,"4106407",Cornelio Procopio,
"272",7,"4100608",Alto Parana,
"273",186,"4113403",Leopolis,
"274",329,"4123907",Santa Mariana,
"275",34,"4102802",Bela Vista Do Paraiso,
"276",157,"4111001",Itambaraca,
"277",273,"4119707",Planaltina Do Parana,
"278",189,"4113502",Loanda,
"279",325,"4123709",Santa Isabel Do Ivai,
"280",342,"4124905",Sao Joao Do Caiua,
"281",116,"4108007",Florestopolis,
"282",222,"4116000",Miraselva,
"283",277,"4120002",Porecatu,
"284",375,"4127304",Terra Rica,
"285",340,"4124707",Sao Jeronimo Da Serra,
"286",320,"4123204",Santa Cecilia Do Pavao,
"287",1,"4100103",Abatia,
"288",29,"4102406",Bandeirantes,
"289",227,"4116406",Nossa Senhora Das Gracas,
"290",80,"4105904",Colorado,
"291",366,"4126603",Siqueira Campos,
"292",391,"4128500",Wenceslau Braz,
"293",302,"4121752",Reserva Do Iguacu,
"294",378,"4127601",Tijucas Do Sul,
"295",103,"4107504",Engenheiro Beltrao,
"296",108,"4107603",Faxinal,
"297",206,"4114906",Marilandia Do Sul,
"298",51,"4103602",Cambara,
"299",308,"4122172",Rio Branco Do Ivai,
"300",4,"4100400",Almirante Tamandare,
"301",60,"4104253",Campo Magro,
"302",258,"4118600",Paula Freitas,
"303",259,"4118709",Paulo Frontin,
"304",160,"4111258",Itaperucu,
"305",156,"4110953",Itaipulandia,
"306",219,"4115804",Medianeira,
"307",174,"4112504",Jardim Alegre,
"308",127,"4108700",Grandes Rios,
"309",16,"4101309",Antonio Olinto,
"310",260,"4118808",Peabiru,
"311",293,"4121109",Quinta Do Sol,
"315",301,"4121703",Reserva,
"316",243,"4117305",Ortigueira,
"317",398,"4128708",Vitorino,
"318",56,"4104006",Campina Grande Do Sul,
"319",344,"4125100",Sao Joao Do Triunfo,
"320",248,"4117701",Palmeira,
"321",13,"4101101",Andira,
"322",338,"4124509",Santo Inacio,
"323",223,"4116059",Missal,
"324",98,"4107157",Diamante D'Oeste,
"325",149,"4110409",Indianopolis,
"326",351,"4125555",Sao Manoel Do Parana,
"327",142,"4109906",Icaraima,
"328",6,"4100509",Altonia,
"329",105,"4107538",Entre Rios Do Oeste,
"330",353,"4125704",Sao Miguel Do Iguacu,
"331",148,"4110300",Inaja,
"332",307,"4122156",Rio Bonito Do Iguacu,
"333",83,"4106209",Contenda,
"334",28,"4102307",Balsa Nova,
"335",367,"4126652",Sulina,
"336",100,"4107256",Douradina,
"337",164,"4111555",Ivate,
"338",396,"4128633",Doutor Ulysses,
"339",37,"4103024",Boa Esperanca Do Iguacu,
"340",40,"4103107",Bocaiuva Do Sul,
"341",309,"4122206",Rio Branco Do Sul,
"342",109,"4107652",Fazenda Rio Grande,
"343",350,"4125506",Sao Jose Dos Pinhais,
"344",299,"4121505",Reboucas,
"345",153,"4110706",Irati,
"346",135,"4109401",Guarapuava,
"347",48,"4103453",Cafelandia,
"348",230,"4116703",Nova Aurora,
"349",265,"4119152",Pinhais,
"350",278,"4120101",Porto Amazonas,
"351",291,"4120903",Quedas Do Iguacu,
"352",270,"4119509",Piraquara,
"353",136,"4109500",Guaraquecaba,
"354",185,"4113304",Laranjeiras Do Sul,
"355",363,"4126355",Serranopolis Do Iguacu,
"356",215,"4115606",Matelandia,
"357",74,"4105300",Ceu Azul,
"358",225,"4116208",Morretes,
"395",238,"4117214",Nova Santa Barbara,
"359",376,"4127403",Terra Roxa,
"360",151,"4110607",Ipora,
"361",187,"4113429",Lidianopolis,
"362",19,"4101606",Arapoti,
"363",324,"4123600",Santa Ines,
"364",90,"4106605",Cruzeiro Do Oeste,
"365",49,"4103479",Cafezal Do Sul,
"366",262,"4118907",Perola,
"399",26,"4102109",Astorga,
"367",374,"4127205",Terra Boa,
"368",395,"4128625",Alto Paraiso,
"369",368,"4126678",Tamarana,
"370",191,"4113700",Londrina,
"371",205,"4114807",Marialva,
"372",17,"4101408",Apucarana,
"373",181,"4113007",Jussara,
"374",346,"4125308",Sao Jorge Do Ivai,
"375",288,"4120705",Quatigua,
"376",280,"4120200",Porto Rico,
"377",175,"4112603",Jardim Olinda,
"378",179,"4112900",Jundiai Do Sul,
"379",204,"4114708",Maria Helena,
"380",50,"4103503",California,
"381",171,"4112207",Janiopolis,
"382",170,"4112108",Jandaia Do Sul,
"383",53,"4103800",Cambira,
"384",82,"4106100",Conselheiro Mairinck,
"385",218,"4115754",Maua Da Serra,
"386",250,"4117909",Palotina,
"387",131,"4109005",Guapirama,
"388",256,"4118451",Pato Bragado,
"389",220,"4115853",Mercedes,
"390",347,"4125357",Sao Jorge Do Patrocinio,
"391",339,"4124608",Sao Carlos Do Ivai,
"392",113,"4107801",Florai,
"393",47,"4103404",Cafeara,
"394",194,"4113809",Lupionopolis,
"396",296,"4121307",Rancho Alegre,
"397",364,"4126405",Sertaneja,
"398",141,"4109807",Ibipora,
